station_idx,latitude,longitude,district
112,6.9,81.14137931034483,Badulla
113,6.9,81.21724137931035,Mŏṇarāgala
114,6.9,81.29310344827587,Mŏṇarāgala
115,6.9,81.36896551724138,Mŏṇarāgala
116,6.9,81.4448275862069,Mŏṇarāgala
117,6.9,81.52068965517242,Mŏṇarāgala
118,6.9,81.59655172413794,Mŏṇarāgala
119,6.9,81.67241379310346,Ampāra
120,6.9,81.74827586206897,Ampāra
121,6.9,81.82413793103449,Ampāra
122,7.066666666666666,79.92758620689655,Gampaha
123,7.066666666666666,80.00344827586207,Gampaha
124,7.066666666666666,80.07931034482759,Gampaha
125,7.066666666666666,80.15517241379311,Gampaha
126,7.066666666666666,80.23103448275863,Kægalla
127,7.066666666666666,80.30689655172414,Kægalla
128,7.066666666666666,80.38275862068966,Kægalla
