origin_date,target_date,horizon_days,district,hazard,p_Flood,p_Drought,p_Normal,threshold_flood,threshold_drought,temperature,explanation_top_features,y_pred_mm,roll3_mm,roll7_mm,roll30_mm,n_stations,feedback,comment
2024-07-23,2024-07-30,7,Pŏḷŏnnaruva,Drought,1.0666826688448633e-196,1.0,1.0461107091947009e-29,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.854999216967902}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02499994667209661}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.215063811649264e-07}, {""feature"": ""roll7_mm"", ""shap_value"": 4.6668667541549524e-09}]",0.7937737197423957,1.8360000674286527,3.056000075358154,3.056000075358154,25,,
2024-07-23,2024-07-30,7,Trikuṇāmalaya,Drought,1.7358262410676065e-198,1.0,4.3392914666585334e-31,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992192995729}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999951780750814}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.2342308304894023e-07}, {""feature"": ""roll7_mm"", ""shap_value"": -8.567560862149382e-10}]",0.7881780163591605,1.693750053064842,2.0437500604582084,2.0437500604582084,16,,
2024-07-23,2024-07-30,7,Vavuniyāva,Drought,2.029834648360501e-197,1.0,2.2969623142344933e-30,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992228197639}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02499994760954948}, {""feature"": ""y_pred_mm"", ""shap_value"": -1.2563645395563539e-07}, {""feature"": ""roll7_mm"", ""shap_value"": 2.0076249586387096e-09}]",0.7814157757675487,1.8153846299124283,2.569230803906544,2.569230803906544,13,,
2024-07-23,2024-07-30,7,Yāpanaya,Drought,7.012941586681785e-174,1.0,6.13115440450279e-23,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8548553683482059}, {""feature"": ""roll3_mm"", ""shap_value"": 0.025205619673239726}, {""feature"": ""roll7_mm"", ""shap_value"": -9.366338365216116e-05}, {""feature"": ""y_pred_mm"", ""shap_value"": 3.172216269069911e-05}]",0.7476241956405721,7.383333196085888,7.849999844351721,7.849999844351721,6,,
2024-07-24,2024-07-31,7,Ampāra,Drought,1.441856730917631e-157,0.9999999999999998,1.4634060802552034e-16,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8452619817422833}, {""feature"": ""roll3_mm"", ""shap_value"": 0.03478969493664605}, {""feature"": ""roll7_mm"", ""shap_value"": -0.00011007296117838787}, {""feature"": ""y_pred_mm"", ""shap_value"": 5.744308273327933e-05}]",0.9803766361524612,10.77037047144511,12.351851984798818,12.511111250137834,27,,
2024-07-24,2024-07-31,7,Anurādhapura,Drought,2.9304077501148834e-188,1.0,9.491118902782096e-27,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8549992024760623}, {""feature"": ""roll3_mm"", ""shap_value"": 0.024999941234796604}, {""feature"": ""y_pred_mm"", ""shap_value"": -8.615909451517578e-08}, {""feature"": ""roll7_mm"", ""shap_value"": -1.075127999822234e-08}]",0.8565552423343945,3.7163265698868138,5.138775579111125,5.193877621867348,49,,
2024-07-24,2024-07-31,7,Badulla,Drought,2.211207810488586e-177,1.0,1.7295940408401906e-21,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8528641512998321}, {""feature"": ""roll3_mm"", ""shap_value"": 0.02772696927008745}, {""feature"": ""roll7_mm"", ""shap_value"": -0.0007613128020378321}, {""feature"": ""y_pred_mm"", ""shap_value"": 0.00016923903260247092}]",0.8759535879303361,5.657894787938805,8.7578949003659,9.00526331836188,19,,
2024-07-24,2024-07-31,7,Gampaha,Flood,1.0,4.207448719304698e-131,7.340796545608483e-31,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.9169871548662097}, {""feature"": ""roll30_mm"", ""shap_value"": 0.004660637363528735}, {""feature"": ""roll7_mm"", ""shap_value"": -0.0016814824015982579}, {""feature"": ""y_pred_mm"", ""shap_value"": 3.91339073656273e-05}]",1.3745884597128577,69.8555596482953,93.8555607743729,96.14444975293776,9,,
2024-07-24,2024-07-31,7,Hambantŏṭa,Drought,1.0383521297885688e-141,0.9999960337208682,3.966279131675559e-06,0.6,0.6,0.5,"[{""feature"": ""roll30_mm"", ""shap_value"": 0.8437714635102801}, {""feature"": ""roll3_mm"", ""shap_value"": 0.03668834909591874}, {""feature"": ""roll7_mm"", ""shap_value"": -0.0006401922982536713}, {""feature"": ""y_pred_mm"", ""shap_value"": 0.00017546021340563572}]",1.1936931325907296,12.61875014071087,18.73124996350844,20.18124994643521,16,,
2024-07-24,2024-07-31,7,Kaḷutara,Flood,1.0,1.7580757299230806e-193,5.0841388785464175e-43,0.6,0.6,0.5,"[{""feature"": ""roll3_mm"", ""shap_value"": 0.920024432266616}, {""feature"": ""y_pred_mm"", ""shap_value"": -2.516279117191489e-05}, {""feature"": ""roll30_mm"", ""shap_value"": 7.892238571053332e-06}, {""feature"": ""roll7_mm"", ""shap_value"": -1.7179785092007877e-06}]",1.463654728960571,74.15000352940831,130.07500332223702,132.90833683542343,12,,
